[2026-05-08T12:22:29Z] Last finished: N/A | Completed: 0/1125 (0.0%) | Est. remaining: calculating...
[2026-05-08T12:23:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-07.pddl/lama | Completed: 12/1125 (1.1%) | Est. remaining: 1h 32m
[2026-05-08T12:24:29Z] Last finished: visitall/claude-opus-4-6/instance-13.pddl/bfws | Completed: 16/1125 (1.4%) | Est. remaining: 2h 18m
[2026-05-08T12:25:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-11.pddl/lama | Completed: 20/1125 (1.8%) | Est. remaining: 2h 45m
[2026-05-08T12:26:29Z] Last finished: visitall/claude-opus-4-6/instance-18.pddl/bfws | Completed: 23/1125 (2.0%) | Est. remaining: 3h 11m
[2026-05-08T12:27:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-09.pddl/bfws | Completed: 32/1125 (2.8%) | Est. remaining: 2h 50m
[2026-05-08T12:28:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-01.pddl/decstar | Completed: 37/1125 (3.3%) | Est. remaining: 2h 56m
[2026-05-08T12:29:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-16.pddl/bfws | Completed: 41/1125 (3.6%) | Est. remaining: 3h 5m
[2026-05-08T12:30:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-17.pddl/lama | Completed: 43/1125 (3.8%) | Est. remaining: 3h 21m
[2026-05-08T12:31:29Z] Last finished: snake/gpt-5.4-2026-03-05/instance-01.pddl/bfws | Completed: 47/1125 (4.2%) | Est. remaining: 3h 26m
[2026-05-08T12:32:29Z] Last finished: snake/gpt-5.4-2026-03-05/instance-02.pddl/bfws | Completed: 48/1125 (4.3%) | Est. remaining: 3h 44m
[2026-05-08T12:33:29Z] Last finished: visitall/claude-opus-4-6/instance-04.pddl/lama | Completed: 54/1125 (4.8%) | Est. remaining: 3h 38m
[2026-05-08T12:34:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-02.pddl/decstar | Completed: 58/1125 (5.2%) | Est. remaining: 3h 40m
[2026-05-08T12:35:29Z] Last finished: visitall/claude-opus-4-6/instance-09.pddl/lama | Completed: 60/1125 (5.3%) | Est. remaining: 3h 50m
[2026-05-08T12:36:29Z] Last finished: visitall/claude-opus-4-6/instance-12.pddl/lama | Completed: 63/1125 (5.6%) | Est. remaining: 3h 56m
[2026-05-08T12:37:29Z] Last finished: visitall/claude-opus-4-6/instance-13.pddl/lama | Completed: 64/1125 (5.7%) | Est. remaining: 4h 8m
[2026-05-08T12:38:29Z] Last finished: visitall/claude-opus-4-6/instance-14.pddl/lama | Completed: 65/1125 (5.8%) | Est. remaining: 4h 20m
[2026-05-08T12:39:29Z] Last finished: visitall/claude-opus-4-6/instance-16.pddl/lama | Completed: 66/1125 (5.9%) | Est. remaining: 4h 32m
[2026-05-08T12:40:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-03.pddl/decstar | Completed: 68/1125 (6.0%) | Est. remaining: 4h 39m
[2026-05-08T12:41:29Z] Last finished: visitall/claude-opus-4-6/instance-17.pddl/lama | Completed: 70/1125 (6.2%) | Est. remaining: 4h 46m
[2026-05-08T12:42:29Z] Last finished: visitall/claude-opus-4-6/instance-18.pddl/lama | Completed: 71/1125 (6.3%) | Est. remaining: 4h 56m
[2026-05-08T12:43:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-04.pddl/lama | Completed: 76/1125 (6.8%) | Est. remaining: 4h 49m
[2026-05-08T12:44:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-07.pddl/lama | Completed: 78/1125 (6.9%) | Est. remaining: 4h 55m
[2026-05-08T12:45:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-09.pddl/lama | Completed: 80/1125 (7.1%) | Est. remaining: 5h 0m
[2026-05-08T12:46:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-04.pddl/decstar | Completed: 82/1125 (7.3%) | Est. remaining: 5h 5m
[2026-05-08T12:47:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-12.pddl/lama | Completed: 84/1125 (7.5%) | Est. remaining: 5h 9m
[2026-05-08T12:48:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-13.pddl/lama | Completed: 85/1125 (7.6%) | Est. remaining: 5h 18m
[2026-05-08T12:49:29Z] Last finished: snake/gpt-5.4-2026-03-05/instance-11.pddl/bfws | Completed: 87/1125 (7.7%) | Est. remaining: 5h 22m
[2026-05-08T12:50:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-16.pddl/lama | Completed: 88/1125 (7.8%) | Est. remaining: 5h 29m
[2026-05-08T12:51:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-17.pddl/lama | Completed: 89/1125 (7.9%) | Est. remaining: 5h 37m
[2026-05-08T12:52:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-07.pddl/decstar | Completed: 91/1125 (8.1%) | Est. remaining: 5h 40m
[2026-05-08T12:53:29Z] Last finished: visitall/gemini-3.1-pro-preview-customtools/instance-19.pddl/lama | Completed: 93/1125 (8.3%) | Est. remaining: 5h 44m
[2026-05-08T12:54:29Z] Last finished: visitall/deepseek-reasoner/instance-07.pddl/lama | Completed: 98/1125 (8.7%) | Est. remaining: 5h 35m
[2026-05-08T12:55:29Z] Last finished: snake/gpt-5.4-2026-03-05/instance-12.pddl/bfws | Completed: 100/1125 (8.9%) | Est. remaining: 5h 38m
[2026-05-08T12:56:29Z] Last finished: visitall/deepseek-reasoner/instance-11.pddl/lama | Completed: 102/1125 (9.1%) | Est. remaining: 5h 41m
[2026-05-08T12:57:29Z] Last finished: visitall/deepseek-reasoner/instance-12.pddl/lama | Completed: 103/1125 (9.2%) | Est. remaining: 5h 47m
[2026-05-08T12:58:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-08.pddl/decstar | Completed: 105/1125 (9.3%) | Est. remaining: 5h 49m
[2026-05-08T12:59:29Z] Last finished: visitall/deepseek-reasoner/instance-14.pddl/lama | Completed: 107/1125 (9.5%) | Est. remaining: 5h 52m
[2026-05-08T13:00:29Z] Last finished: visitall/deepseek-reasoner/instance-16.pddl/lama | Completed: 108/1125 (9.6%) | Est. remaining: 5h 57m
[2026-05-08T13:01:29Z] Last finished: visitall/deepseek-reasoner/instance-17.pddl/lama | Completed: 110/1125 (9.8%) | Est. remaining: 5h 59m
[2026-05-08T13:02:30Z] Last finished: visitall/deepseek-reasoner/instance-17.pddl/lama | Completed: 110/1125 (9.8%) | Est. remaining: 6h 9m
[2026-05-08T13:03:30Z] Last finished: visitall/deepseek-reasoner/instance-18.pddl/lama | Completed: 111/1125 (9.9%) | Est. remaining: 6h 14m
[2026-05-08T13:04:29Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-09.pddl/decstar | Completed: 114/1125 (10.1%) | Est. remaining: 6h 12m
[2026-05-08T13:05:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-09.pddl/madagascar | Completed: 115/1125 (10.2%) | Est. remaining: 6h 17m
[2026-05-08T13:06:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-09.pddl/madagascar | Completed: 115/1125 (10.2%) | Est. remaining: 6h 26m
[2026-05-08T13:07:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-14.pddl/bfws | Completed: 117/1125 (10.4%) | Est. remaining: 6h 27m
[2026-05-08T13:08:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-14.pddl/bfws | Completed: 117/1125 (10.4%) | Est. remaining: 6h 36m
[2026-05-08T13:09:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-14.pddl/bfws | Completed: 117/1125 (10.4%) | Est. remaining: 6h 44m
[2026-05-08T13:10:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-11.pddl/decstar | Completed: 118/1125 (10.5%) | Est. remaining: 6h 49m
[2026-05-08T13:11:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-11.pddl/madagascar | Completed: 119/1125 (10.6%) | Est. remaining: 6h 54m
[2026-05-08T13:12:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-11.pddl/madagascar | Completed: 119/1125 (10.6%) | Est. remaining: 7h 2m
[2026-05-08T13:13:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-16.pddl/bfws | Completed: 121/1125 (10.8%) | Est. remaining: 7h 3m
[2026-05-08T13:14:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-16.pddl/bfws | Completed: 121/1125 (10.8%) | Est. remaining: 7h 11m
[2026-05-08T13:15:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-16.pddl/bfws | Completed: 121/1125 (10.8%) | Est. remaining: 7h 19m
[2026-05-08T13:16:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-12.pddl/decstar | Completed: 122/1125 (10.8%) | Est. remaining: 7h 23m
[2026-05-08T13:17:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-12.pddl/madagascar | Completed: 123/1125 (10.9%) | Est. remaining: 7h 28m
[2026-05-08T13:18:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-12.pddl/madagascar | Completed: 123/1125 (10.9%) | Est. remaining: 7h 36m
[2026-05-08T13:19:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-17.pddl/bfws | Completed: 125/1125 (11.1%) | Est. remaining: 7h 36m
[2026-05-08T13:20:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-17.pddl/bfws | Completed: 125/1125 (11.1%) | Est. remaining: 7h 44m
[2026-05-08T13:21:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-17.pddl/bfws | Completed: 125/1125 (11.1%) | Est. remaining: 7h 52m
[2026-05-08T13:22:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-13.pddl/decstar | Completed: 126/1125 (11.2%) | Est. remaining: 7h 55m
[2026-05-08T13:23:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-13.pddl/madagascar | Completed: 127/1125 (11.3%) | Est. remaining: 7h 59m
[2026-05-08T13:24:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-13.pddl/madagascar | Completed: 127/1125 (11.3%) | Est. remaining: 8h 7m
[2026-05-08T13:25:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-18.pddl/bfws | Completed: 129/1125 (11.5%) | Est. remaining: 8h 6m
[2026-05-08T13:26:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-18.pddl/bfws | Completed: 129/1125 (11.5%) | Est. remaining: 8h 14m
[2026-05-08T13:27:30Z] Last finished: snake/gpt-5.4-2026-03-05/instance-18.pddl/bfws | Completed: 129/1125 (11.5%) | Est. remaining: 8h 21m
[2026-05-08T13:28:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-14.pddl/decstar | Completed: 130/1125 (11.6%) | Est. remaining: 8h 25m
[2026-05-08T13:29:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-14.pddl/madagascar | Completed: 131/1125 (11.6%) | Est. remaining: 8h 28m
[2026-05-08T13:30:30Z] Last finished: visitall/gpt-5.4-2026-03-05/instance-14.pddl/madagascar | Completed: 131/1125 (11.6%) | Est. remaining: 8h 35m
