[2026-04-29T11:44:32Z] Last finished: N/A | Completed: 0/300 (0.0%) | Est. remaining: calculating...
[2026-04-29T11:45:32Z] Last finished: visitall/instance-07.pddl/lama | Completed: 12/300 (4.0%) | Est. remaining: 0h 23m
[2026-04-29T11:46:32Z] Last finished: visitall/instance-13.pddl/bfws | Completed: 16/300 (5.3%) | Est. remaining: 0h 35m
[2026-04-29T11:47:32Z] Last finished: visitall/instance-11.pddl/lama | Completed: 20/300 (6.7%) | Est. remaining: 0h 41m
[2026-04-29T11:48:32Z] Last finished: visitall/instance-18.pddl/bfws | Completed: 23/300 (7.7%) | Est. remaining: 0h 48m
[2026-04-29T11:49:32Z] Last finished: visitall/instance-13.pddl/lama | Completed: 26/300 (8.7%) | Est. remaining: 0h 52m
[2026-04-29T11:50:32Z] Last finished: snake/instance-03.pddl/bfws | Completed: 29/300 (9.7%) | Est. remaining: 0h 56m
[2026-04-29T11:51:32Z] Last finished: visitall/instance-16.pddl/lama | Completed: 32/300 (10.7%) | Est. remaining: 0h 58m
[2026-04-29T11:52:32Z] Last finished: snake/instance-04.pddl/bfws | Completed: 33/300 (11.0%) | Est. remaining: 1h 4m
[2026-04-29T11:53:32Z] Last finished: visitall/instance-17.pddl/lama | Completed: 34/300 (11.3%) | Est. remaining: 1h 10m
[2026-04-29T11:54:32Z] Last finished: visitall/instance-18.pddl/lama | Completed: 35/300 (11.7%) | Est. remaining: 1h 15m
[2026-04-29T11:55:32Z] Last finished: snake/instance-07.pddl/bfws | Completed: 36/300 (12.0%) | Est. remaining: 1h 20m
[2026-04-29T11:56:32Z] Last finished: snake/instance-01.pddl/lama | Completed: 38/300 (12.7%) | Est. remaining: 1h 22m
[2026-04-29T11:57:32Z] Last finished: visitall/instance-02.pddl/madagascar | Completed: 40/300 (13.3%) | Est. remaining: 1h 24m
[2026-04-29T11:58:32Z] Last finished: snake/instance-02.pddl/lama | Completed: 42/300 (14.0%) | Est. remaining: 1h 26m
[2026-04-29T11:59:32Z] Last finished: snake/instance-02.pddl/lama | Completed: 42/300 (14.0%) | Est. remaining: 1h 32m
[2026-04-29T12:00:32Z] Last finished: snake/instance-02.pddl/lama | Completed: 42/300 (14.0%) | Est. remaining: 1h 38m
[2026-04-29T12:01:32Z] Last finished: snake/instance-02.pddl/lama | Completed: 42/300 (14.0%) | Est. remaining: 1h 44m
[2026-04-29T12:02:32Z] Last finished: snake/instance-02.pddl/lama | Completed: 42/300 (14.0%) | Est. remaining: 1h 50m
[2026-04-29T12:03:32Z] Last finished: snake/instance-09.pddl/bfws | Completed: 45/300 (15.0%) | Est. remaining: 1h 47m
[2026-04-29T12:04:32Z] Last finished: snake/instance-03.pddl/lama | Completed: 46/300 (15.3%) | Est. remaining: 1h 50m
[2026-04-29T12:05:32Z] Last finished: snake/instance-03.pddl/lama | Completed: 46/300 (15.3%) | Est. remaining: 1h 55m
[2026-04-29T12:06:32Z] Last finished: snake/instance-03.pddl/lama | Completed: 46/300 (15.3%) | Est. remaining: 2h 1m
[2026-04-29T12:07:32Z] Last finished: snake/instance-03.pddl/lama | Completed: 46/300 (15.3%) | Est. remaining: 2h 7m
[2026-04-29T12:08:32Z] Last finished: snake/instance-11.pddl/bfws | Completed: 47/300 (15.7%) | Est. remaining: 2h 9m
